,DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
1780,2021-11-27T00:00:00Z,id22,Against,1,1,10
1781,2021-11-27T00:00:00Z,id22,For,4,4,7
1782,2021-11-28T00:00:00Z,id22,Against,3,3,3
1783,2021-11-30T00:00:00Z,id22,For,5,5,17
1784,2021-11-29T00:00:00Z,id22,For,3,3,4
1785,2021-11-27T00:00:00Z,id22,Abstain,2,2,10
1786,2021-11-28T00:00:00Z,id22,For,1,1,2
1787,2021-11-28T00:00:00Z,id21,For,1,1,1
1788,2021-11-29T00:00:00Z,id21,For,2,2,2
1789,2021-11-27T00:00:00Z,id21,For,3,3,3
1790,2021-11-26T00:00:00Z,id21,For,6,6,15
1791,2021-11-29T00:00:00Z,id21,Abstain,1,1,11
1792,2021-11-29T00:00:00Z,id21,Against,2,2,2
1793,2021-11-26T00:00:00Z,id21,Against,2,2,5
1794,2021-11-27T00:00:00Z,id21,Against,3,3,12
1795,2021-11-25T00:00:00Z,id20,For,2,2,10
1796,2021-11-24T00:00:00Z,id20,For,2,2,2
1797,2021-11-27T00:00:00Z,id20,For,5,5,24
1798,2021-11-26T00:00:00Z,id20,For,4,4,11
1799,2021-11-25T00:00:00Z,id19,For,2,2,2
1800,2021-11-23T00:00:00Z,id19,For,1,1,1
1801,2021-11-24T00:00:00Z,id19,For,4,4,21
1802,2021-11-21T00:00:00Z,id18,For,4,4,5
1803,2021-11-18T00:00:00Z,id18,For,13,13,27
1804,2021-11-19T00:00:00Z,id18,Abstain,3,3,11
1805,2021-11-18T00:00:00Z,id18,Against,1,1,6
1806,2021-11-20T00:00:00Z,id18,For,1,1,1
1807,2021-11-19T00:00:00Z,id18,For,1,1,1
1808,2021-11-19T00:00:00Z,id17,For,3,3,11
1809,2021-11-20T00:00:00Z,id17,For,3,3,5
1810,2021-11-18T00:00:00Z,id17,For,11,11,27
1811,2021-11-21T00:00:00Z,id17,For,2,2,3
1812,2021-11-09T00:00:00Z,id16,Against,2,2,8
1813,2021-11-10T00:00:00Z,id16,For,5,5,6
1814,2021-11-08T00:00:00Z,id16,For,7,7,15
1815,2021-11-09T00:00:00Z,id16,For,2,2,6
1816,2021-11-09T00:00:00Z,id15,For,4,4,8
1817,2021-11-08T00:00:00Z,id15,For,6,6,14
1818,2021-11-07T00:00:00Z,id15,For,1,1,7
1819,2021-11-01T00:00:00Z,id14,For,1,1,1
1820,2021-10-30T00:00:00Z,id14,For,1,1,1
1821,2021-10-31T00:00:00Z,id14,For,5,5,15
1822,2021-10-29T00:00:00Z,id14,For,6,6,8
1823,2021-10-24T00:00:00Z,id13,For,1,1,5
1824,2021-10-22T00:00:00Z,id13,For,9,9,14
1825,2021-10-23T00:00:00Z,id13,For,1,1,1
1826,2021-10-22T00:00:00Z,id12,For,5,5,5
1827,2021-10-24T00:00:00Z,id12,For,1,1,5
1828,2021-10-23T00:00:00Z,id12,For,2,2,8
1829,2021-10-21T00:00:00Z,id12,For,2,2,2
1830,2021-10-11T00:00:00Z,id11,For,3,3,3
1831,2021-10-13T00:00:00Z,id11,For,8,8,14
1832,2021-10-12T00:00:00Z,id11,For,1,1,3
1833,2021-10-10T00:00:00Z,id10,For,1,1,6
1834,2021-10-12T00:00:00Z,id10,For,1,1,5
1835,2021-10-11T00:00:00Z,id10,For,3,3,9
1836,2021-10-09T00:00:00Z,id10,For,1,1,1
1837,2021-10-03T00:00:00Z,id9,For,4,4,8
1838,2021-10-04T00:00:00Z,id9,For,5,5,10
1839,2021-10-01T00:00:00Z,id9,For,2,2,2
1840,2021-10-02T00:00:00Z,id9,For,3,3,3
1841,2021-09-27T00:00:00Z,id8,For,1,1,1
1842,2021-09-29T00:00:00Z,id8,For,4,4,13
1843,2021-09-28T00:00:00Z,id8,For,1,1,6
1844,2021-09-26T00:00:00Z,id7,For,1,1,2
1845,2021-09-24T00:00:00Z,id7,For,4,4,7
1846,2021-09-23T00:00:00Z,id6,For,1,1,1
1847,2021-09-21T00:00:00Z,id6,For,5,5,9
1848,2021-09-24T00:00:00Z,id6,For,3,3,3
1849,2021-09-22T00:00:00Z,id6,For,1,1,3
1850,2021-09-19T00:00:00Z,id5,For,2,2,9
1851,2021-09-16T00:00:00Z,id5,For,3,3,3
1852,2021-09-18T00:00:00Z,id5,For,2,2,3
1853,2021-09-17T00:00:00Z,id5,For,2,2,2
1854,2021-09-08T00:00:00Z,id4,For,3,3,5
1855,2021-09-07T00:00:00Z,id4,For,3,3,6
1856,2021-09-06T00:00:00Z,id4,For,3,3,3
1857,2021-09-05T00:00:00Z,id3,For,2,2,2
1858,2021-09-06T00:00:00Z,id3,For,3,3,7
1859,2021-09-03T00:00:00Z,id3,For,2,2,3
1860,2021-09-04T00:00:00Z,id3,For,2,2,2
1861,2021-08-29T00:00:00Z,id2,For,1,1,2
1862,2021-08-28T00:00:00Z,id2,For,2,2,2
1863,2021-08-27T00:00:00Z,id2,For,5,5,5
1864,2021-08-30T00:00:00Z,id2,For,1,1,3
1865,2021-08-23T00:00:00Z,id1,For,2,2,3
1866,2021-08-22T00:00:00Z,id1,For,3,3,2
1867,2021-08-24T00:00:00Z,id1,For,1,1,2
