,WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
456,12/5/2022,id184,For,12,12,101
457,12/5/2022,id184,Against,1,1,2
458,12/5/2022,id183,Against,1,1,3
459,12/5/2022,id183,Abstain,1,1,60
460,12/5/2022,id183,For,12,12,40
461,12/5/2022,id182,For,7,7,23
462,12/5/2022,id182,Against,2,2,3
463,12/5/2022,id182,Abstain,1,1,1
464,12/5/2022,id181,Against,4,4,4
465,12/5/2022,id181,Abstain,1,1,2
466,12/5/2022,id181,For,25,25,89
467,12/5/2022,id180,For,36,36,162
468,12/5/2022,id179,Against,5,5,8
469,12/5/2022,id179,For,31,31,132
470,12/5/2022,id178,For,24,24,81
471,12/5/2022,id178,Abstain,4,4,67
472,12/5/2022,id178,Against,12,12,39
473,12/5/2022,id177,For,26,26,75
474,12/12/2022,id193,For,1,1,1
475,12/12/2022,id190,For,3,3,4
476,12/12/2022,id189,Against,5,5,44
477,12/12/2022,id189,For,17,17,41
478,12/12/2022,id188,Against,8,8,62
479,12/12/2022,id188,For,4,4,20
480,12/12/2022,id188,Abstain,1,1,2
481,12/12/2022,id187,Against,6,6,69
482,12/12/2022,id187,For,10,10,24
483,12/12/2022,id186,Abstain,3,3,4
484,12/12/2022,id186,Against,11,11,57
485,12/12/2022,id186,For,5,5,7
486,12/12/2022,id185,Abstain,1,1,2
487,12/12/2022,id185,For,33,33,171
488,12/12/2022,id184,For,29,29,84
489,12/12/2022,id184,Against,1,1,0
490,12/12/2022,id183,For,22,22,74
491,12/12/2022,id183,Against,7,7,43
492,12/12/2022,id182,Abstain,7,7,73
493,12/12/2022,id182,Against,12,12,61
494,12/12/2022,id182,For,17,17,59
495,12/19/2022,id197,For,3,3,30
496,12/19/2022,id196,Against,25,25,181
497,12/19/2022,id196,For,4,4,3
498,12/19/2022,id196,Abstain,1,1,2
499,12/19/2022,id195,For,31,31,191
500,12/19/2022,id195,Abstain,1,1,0
501,12/19/2022,id194,For,48,48,230
502,12/19/2022,id194,Abstain,1,1,0
503,12/19/2022,id193,For,42,42,219
504,12/19/2022,id193,Against,8,8,45
505,12/19/2022,id192,Against,2,2,8
506,12/19/2022,id192,For,35,35,192
507,12/19/2022,id192,Abstain,2,2,4
508,12/19/2022,id191,Against,22,22,101
509,12/19/2022,id191,For,10,10,38
510,12/19/2022,id191,Abstain,5,5,67
511,12/19/2022,id190,For,40,40,230
512,12/19/2022,id190,Against,1,1,1
513,12/19/2022,id189,Abstain,4,4,66
514,12/19/2022,id189,For,27,27,73
515,12/19/2022,id189,Against,25,25,74
516,12/19/2022,id188,Abstain,6,6,85
517,12/19/2022,id188,For,2,2,2
518,12/19/2022,id188,Against,12,12,28
519,12/19/2022,id187,Against,8,8,22
520,12/19/2022,id187,For,2,2,3
521,12/26/2022,id198,Against,8,8,11
522,12/26/2022,id198,For,1,1,2
523,12/26/2022,id197,For,27,27,133
524,12/26/2022,id197,Against,2,2,9
525,12/26/2022,id197,Abstain,2,2,27
526,12/26/2022,id195,For,8,8,24
