DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2023-01-31T00:00:00Z,30,Abstain,1,1,1
2023-01-30T00:00:00Z,30,Against,30,30,21.842139
2023-01-27T00:00:00Z,30,For,26,26,9000696.078
2023-01-30T00:00:00Z,30,For,385,385,7034961.063
2023-02-01T00:00:00Z,30,Against,1,1,200000
2023-01-29T00:00:00Z,30,Against,3,3,2500002.05
2023-01-28T00:00:00Z,30,Against,1,1,70.074144
2023-01-29T00:00:00Z,30,For,173,173,560.10971
2023-01-31T00:00:00Z,30,Against,6,6,251.069118
2023-02-01T00:00:00Z,30,For,227,227,10100761.26
2023-02-06T00:00:00Z,31,For,663,663,19017304.61
2023-02-10T00:00:00Z,31,Abstain,1,1,200000
2023-02-10T00:00:00Z,31,For,87,88,813.542144
2023-02-08T00:00:00Z,31,Against,5,5,13.327659
2023-02-05T00:00:00Z,31,For,147,147,12923474.85
2023-02-05T00:00:00Z,31,Against,138,138,15063140.12
2023-02-06T00:00:00Z,31,Against,167,167,125944.6201
2023-02-07T00:00:00Z,31,Against,42,42,337.375408
2023-02-06T00:00:00Z,31,Abstain,10,10,8.186143
2023-02-10T00:00:00Z,31,Against,4,4,19.877003
2023-02-08T00:00:00Z,31,Abstain,1,1,250000
2023-02-08T00:00:00Z,31,For,77,77,2501368.161
2023-02-07T00:00:00Z,31,For,222,222,16436204.19
2023-02-04T00:00:00Z,31,For,4,4,2500516.074
2023-02-09T00:00:00Z,31,For,110,110,2500346.324
2023-02-09T00:00:00Z,31,Against,4,4,13277299.91
2023-02-05T00:00:00Z,31,Abstain,3,3,1.044532
2023-02-15T00:00:00Z,32,Against,1,1,6.004277
2023-02-14T00:00:00Z,32,For,308,308,19219602.85
2023-02-13T00:00:00Z,32,Against,1,1,0.1
2023-02-10T00:00:00Z,32,For,121,121,4929393.295
2023-02-15T00:00:00Z,32,Abstain,1,1,10
2023-02-13T00:00:00Z,32,For,212,212,11105618.82
2023-02-11T00:00:00Z,32,For,977,977,3010209.46
2023-02-11T00:00:00Z,32,Abstain,1,1,1
2023-02-15T00:00:00Z,32,For,143,143,408.31732
2023-02-11T00:00:00Z,32,Against,2,2,4.311235
2023-02-12T00:00:00Z,32,For,1034,1034,3303752.6
2023-02-12T00:00:00Z,32,Against,18,18,0.38986
2023-03-14T00:00:00Z,33,Against,1,1,202.014464
2023-03-12T00:00:00Z,33,Abstain,6,6,11.678902
2023-03-16T00:00:00Z,33,Against,1,1,6.037701
2023-03-12T00:00:00Z,33,For,159,159,3503221.953
2023-03-13T00:00:00Z,33,For,84,84,7035369.482
2023-03-14T00:00:00Z,33,For,47,47,3302124.507
2023-03-15T00:00:00Z,33,For,25,25,1000798.727
2023-03-13T00:00:00Z,33,Against,2,2,2500004.737
2023-03-16T00:00:00Z,33,Abstain,1,1,2.503609
2023-03-11T00:00:00Z,33,For,1,1,15
2023-03-12T00:00:00Z,33,Against,5,5,0.05
2023-03-17T00:00:00Z,33,Against,1,1,9.250983
2023-03-16T00:00:00Z,33,For,31,31,33002954.54
2023-03-17T00:00:00Z,33,For,19,20,500401.8269
2023-03-15T00:00:00Z,33,Against,1,1,1.142174
2023-04-10T00:00:00Z,34,For,41,41,16903631.36
2023-04-13T00:00:00Z,34,For,19,19,10533400.91
2023-04-09T00:00:00Z,34,For,59,59,635.406469
2023-04-08T00:00:00Z,34,For,11,11,619.095239
2023-04-12T00:00:00Z,34,For,18,18,2448799.578
2023-04-09T00:00:00Z,34,Abstain,1,1,0
2023-04-14T00:00:00Z,34,For,4,4,45.718061
2023-04-11T00:00:00Z,34,For,42,42,12560841.05
2023-04-10T00:00:00Z,36,Against,1,1,1.174874
2023-04-13T00:00:00Z,36,For,15,15,13205620.33
2023-04-09T00:00:00Z,36,For,6,6,5.034644
2023-04-14T00:00:00Z,36,For,14,14,507.545231
2023-04-11T00:00:00Z,36,Against,1,1,0.01
2023-04-10T00:00:00Z,36,For,54,54,16303421.44
2023-04-12T00:00:00Z,36,For,17,17,5948952.552
2023-04-15T00:00:00Z,36,For,21,21,169.664889
2023-04-11T00:00:00Z,36,For,44,44,7504763.401
2023-04-16T00:00:00Z,37,Against,3,3,6155.002475
2023-04-17T00:00:00Z,37,For,6,6,1500329.459
